# OQ-190 consumer_census.tsv — pass 1 (name-keyed) + pass 2 (closure/T2b)
# governed by the frozen PREREGISTRATION.md in this directory
# code surface: 497 tracked .pl/.py files (corpus data excluded)
file	line	surface	emitted_name	bucket	tier	grade	reached_by	disposition	confidence	text
agent/validate_naturalization_gap.py	257	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	lines.append(f"narrative_ontology:constraint_beneficiary({cid}, {safe_b}).")
examples/grayman/labor_union_dues_structure.pl	78	data	constraint_beneficiary	cast	producer		name	n/a-authorship	recovered	narrative_ontology:constraint_beneficiary(labor_union_dues, union_administrative_body).
examples/grayman/labor_union_dues_structure.pl	79	data	constraint_victim	cast	producer		name	n/a-authorship	recovered	narrative_ontology:constraint_victim(labor_union_dues, rank_and_file_workers).
examples/grayman/labor_union_dues_structure.pl	124	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_beneficiary(labor_union_dues, _),
examples/grayman/labor_union_dues_structure.pl	125	code	constraint_victim	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_victim(labor_union_dues, _).
prolog/abductive_triggers.pl	189	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	298	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	359	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	473	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	633	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, fail),
prolog/abductive_triggers.pl	697	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	;   catch(drl_core:dr_type(C, Context, tangled_rope), _, fail)
prolog/abductive_triggers.pl	712	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	772	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	824	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	883	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, PowerlessCtx, DrType), _, fail),
prolog/abductive_triggers.pl	890	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, AnalyticalType), _, (AnalyticalType = unknown)),
prolog/abductive_triggers.pl	957	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, DetType), _, (DetType = unknown)),
prolog/abductive_triggers.pl	1013	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	catch(drl_core:dr_type(C, Context, mountain), _, fail),
prolog/arakelov_height.pl	49	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	drl_core:dr_type(C, Context, Claimed),
prolog/arakelov_height.pl	59	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	drl_core:dr_type(C, Context, Claimed),
prolog/audit3_maxent_compare.pl	179	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	(   catch(drl_core:dr_type(C, Ctx, DetType), _, fail)
prolog/bifurcation_export.pl	20	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	drl_core:dr_type(C, Ctx, Type)
prolog/bifurcation_export.pl	55	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	(   (drl_core:dr_type(C, Ctx, Type) -> true ; Type = unknown),
prolog/boltzmann_compliance.pl	491	code	constraint_stakeholder	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_stakeholder(C, Name, _, _, _, _, _),
prolog/commentary_census.pl	95	code	q6_crosscheck	verdict	T1	name-identity	name	SUSPECT-confirmed-and-fails	recovered	stakeholder_seats:q6_crosscheck(C, Cell, _).
prolog/constraint_bridge.pl	94	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	(   drl_core:dr_type(C, Type),
prolog/constraint_bridge.pl	96	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_beneficiary(C, Actor),
prolog/constraint_indexing.pl	455	code	agent_beneficiary	cast	T3	presence	name	SUSPECT-confirmed-grade-unmeasured	recovered	(   narrative_ontology:agent_beneficiary(Constraint, _)
prolog/constraint_indexing.pl	459	code	constraint_victim	cast	T3	presence	name	SUSPECT-confirmed-grade-unmeasured	recovered	(   narrative_ontology:constraint_victim(Constraint, _)
prolog/constraint_indexing.pl	524	code	constraint_victim	cast	T2	cardinality	name	SUSPECT-confirmed-grade-unmeasured	recovered	findall(_, narrative_ontology:constraint_victim(Constraint, _), Victims),
prolog/constraint_indexing.pl	573	code	resolve_coalition_power	cast	T2b	cardinality	closure	SUSPECT-confirmed-grade-unmeasured	recovered	resolve_coalition_power(Power, Constraint, ResolvedPower),
prolog/constraint_indexing.pl	917	code	constraint_beneficiary	cast	T3	presence	name	SUSPECT-confirmed-grade-unmeasured	recovered	findall(B, narrative_ontology:constraint_beneficiary(C, B), Beneficiaries), !.
prolog/constraint_indexing.pl	919	code	constraint_beneficiary	cast	T3	presence	name	SUSPECT-confirmed-grade-unmeasured	recovered	findall(B, narrative_ontology:constraint_beneficiary(C, B), All),
prolog/constraint_instances.pl	155	data	constraint_beneficiary	cast	producer		name	n/a-authorship	recovered	narrative_ontology:constraint_beneficiary(carbon_tax_2026, society_at_large).
prolog/constraint_instances.pl	156	data	constraint_victim	cast	producer		name	n/a-authorship	recovered	narrative_ontology:constraint_victim(carbon_tax_2026, low_income_consumers).
prolog/context_profile_mining.pl	133	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	(   catch(drl_core:dr_type(C, Ctx, Type), _, fail)
prolog/cs_kernel_registry.pl	89	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	once(drl_core:dr_type(C1, Ctx, Type1)),
prolog/cs_kernel_registry.pl	90	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	once(drl_core:dr_type(C2, Ctx, Type2)),
prolog/cs_kernel_registry.pl	142	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	once(drl_core:dr_type(C, Ctx, Type)) ),
prolog/cs_pattern_detection.pl	213	code	dr_type	cast	T2b	presence	closure	SUSPECT-confirmed-grade-unmeasured	recovered	drl_core:dr_type(C, Ctx, scaffold),
prolog/cs_pattern_detection.pl	275	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_beneficiary(C, _), !.
prolog/cs_pattern_detection.pl	290	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_beneficiary(C, _),
prolog/cs_pattern_detection.pl	291	code	constraint_victim	cast	T6		name	SUSPECT-unwitnessed	inferred	narrative_ontology:constraint_victim(C, _).
prolog/data_repair.pl	134	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	(   acc_has(AccIn, constraint_beneficiary(IntervalID, _))
prolog/data_repair.pl	140	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	->  Acc1 = [bridge_result(constraint_beneficiary(IntervalID, inferred_institutional)) | AccIn],
prolog/data_repair.pl	141	code	constraint_beneficiary	cast	T6		name	SUSPECT-unwitnessed	inferred	format('  [BRIDGE] Derived constraint_beneficiary(~w, inferred_institutional) from metrics (E=~2f, S=~2f)~n',
prolog/data_repair.pl	147	code	constraint_victim	cast	T6		name	SUSPECT-unwitnessed	inferred	(   acc_has(Acc1, constraint_victim(IntervalID, _))
prolog/data_repair.pl	153	code	constraint_victim	cast	T6		name	SUSPECT-unwitnessed	inferred	->  AccOut = [bridge_result(constraint_victim(IntervalID, inferred_subject)) | Acc1],
