ability_ceiling_reading	gap	gap
access_barrier_reading	gap	gap
actinide_replenishment_mechanism_contradictions	undetermined	undetermined
actinide_replenishment_mechanism_flat_control	no_gap	gap
adjunctification_of_university_teaching_c0	gap	gap
alignment_constraint_narrowing	gap	gap
animal_status_kernel__property_reading	undetermined	gap
apoe4_mitochondrial_vulnerability	gap	gap
architectural_pattern_validity	no_gap	no_gap
authoritative_specification_reading	gap	gap
basic_law_interpretive_authority__parliamentary_sovereignty_reading	undetermined	gap
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	no_gap	no_gap
behavioral_adoption_friction	no_gap	no_gap
benchmark_saturation_interpretation	gap	gap
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	undetermined	gap
border_control_legitimacy__freedom_of_movement_primary	undetermined	gap
capability_endogeneity	no_gap	no_gap
catastrophe_memory_kernel__boundary_maintenance_reading	undetermined	gap
conceptual_framework_reading	no_gap	no_gap
crypto_permissionless_reading	no_gap	undetermined
dataset_recycling_amplification	no_gap	no_gap
demographic_resource_allocation	no_gap	no_gap
demographic_skill_mismatch_c0	no_gap	no_gap
digital_money_legitimacy_contradictions	undetermined	undetermined
digital_money_legitimacy_flat_control	gap	gap
dispositional_reading	gap	gap
distributed_verification	gap	gap
divine_legitimacy_substrate__folk_syncretistic_reading	undetermined	no_gap
doomsday_clock_metric__hybrid_legitimacy_reading	no_gap	undetermined
dueling_disappearance_mechanism__overdetermined_composite_reading	gap	gap
empty_shell_tolerance	no_gap	no_gap
epistemic_collapse	gap	gap
equal_protection_kernel__colorblind_reading	undetermined	gap
fictional_construct_reading	no_gap	no_gap
fourteenth_amendment_equal_protection__formal_equality_reading	undetermined	gap
gendered_outcome_asymmetry	gap	gap
generality_standard_contradictions	undetermined	undetermined
generality_standard_flat_control	gap	gap
generation_gate_reading	gap	gap
geopolitical_settlement_competition	gap	gap
gita_kurukshetra_discourse__gandhian_allegorical_reading	no_gap	no_gap
historical_treaty_substrate__stewardship_reading	no_gap	no_gap
indexical_realism	gap	gap
institutional_barrier_structure	gap	gap
institutional_trust_erosion_c0	undetermined	undetermined
institutional_validation_reading	gap	gap
institutional_verification_collapse	gap	gap
interactionist_reading	undetermined	no_gap
intervention_target_selection	gap	gap
jewish_self_determination__indigenous_return_reading	undetermined	gap
jewish_sovereignty_palestine__cultural_zionist_reading	no_gap	no_gap
jewish_sovereignty_palestine__settler_colonial_reading	gap	gap
jewish_territorial_claim__labor_zionism_reading	gap	gap
john_1_1_logos__non_incarnational_monotheist	gap	gap
knowledge_legitimacy_biomedicine_contradictions	undetermined	undetermined
knowledge_legitimacy_biomedicine_flat_control	gap	gap
lausanne_minority_protections__guarantor_reading	undetermined	no_gap
learning_difficulty_substrate_contradictions	undetermined	undetermined
learning_difficulty_substrate_flat_control	gap	gap
livelihood_security_reading	undetermined	undetermined
llm_synthesis_capacity	no_gap	no_gap
longevity_mismatch	no_gap	no_gap
lycurgan_laws__demographic_trap_reading	gap	gap
maat_order_principle__reciprocity_reading	undetermined	undetermined
marriage_authority__judicial_harmonization_reading	undetermined	gap
mitochondrial_demand_signal_deficiency	gap	gap
model_collapse_feedback	gap	gap
moral_causation_locus_contradictions	undetermined	undetermined
moral_causation_locus_flat_control	gap	gap
nad_precursor_bioavailability	gap	gap
neutron_star_bombardment_reading	no_gap	no_gap
nicene_creed_authority__liturgical_habituation_reading	undetermined	no_gap
organization_floor_c0	no_gap	undetermined
partition_choice_reading	gap	gap
performance_legitimacy_contradictions	undetermined	undetermined
performance_legitimacy_flat_control	gap	gap
polaris_document_status_contradictions	undetermined	undetermined
polaris_document_status_flat_control	gap	gap
post_evidentiary	gap	gap
pragmatic_action_reading	no_gap	undetermined
pre_public_initiative_reading	no_gap	no_gap
prerequisite_debt_reading	no_gap	undetermined
press_reformation_causality__strategic_deployment	gap	gap
press_reformation_causation__mutual_shaping	no_gap	no_gap
press_reformation_causation__strategic_deployment	gap	no_gap
propagation_speed_asymmetry	no_gap	no_gap
property_sector_overhang	gap	gap
protein_anabolic_resistance	gap	gap
qualitative_development_reading	gap	gap
quantitative_growth_reading	gap	gap
radiative_levitation_stratification	no_gap	gap
reading_acquisition_legitimacy__whole_language_meaning_primacy	gap	gap
refugee_convention_text__expansive_humanitarian_reading	no_gap	no_gap
regulated_stablecoin_reading	gap	gap
responsibility_preservation_mechanism	gap	gap
scale_ceiling_c0	no_gap	no_gap
secession_legitimacy_boundary__constitutional_impossibility_reading	undetermined	gap
sex_gender_category__identity_reading	gap	gap
shinbutsu_ontological_commitment__incoherence_reading	undetermined	gap
situational_reading	gap	gap
sovereign_cbdc_reading	gap	gap
specification_binding_authority	gap	gap
speech_protection_kernel__absolutist_reading	undetermined	gap
state_killing_legitimacy__abolition_reading	gap	gap
statutory_debt_ceiling__coordination_scaffold_reading	no_gap	no_gap
superheavy_decay_reading	undetermined	undetermined
synthesis_infrastructure_gap	gap	gap
techno_nationalist_reading	gap	gap
third_act_arbitrage	gap	gap
trajectory_extrapolation_reading	gap	gap
udhr_article_3__negative_liberty_reading	gap	gap
validation_judgment_separation	no_gap	no_gap
vedic_corpus_social_prescription__colonial_orientalist_reading	gap	gap
visual_evidentiary_authority_contradictions	undetermined	undetermined
visual_evidentiary_authority_flat_control	no_gap	no_gap
womens_financial_autonomy	no_gap	no_gap
zero_mathematical_status__parmenidean_rejection	gap	gap
zero_mathematical_status__placeholder_reading	undetermined	gap
zionist_legitimacy_basis__national_liberation_reading	gap	gap
