ability_ceiling_reading	3
access_barrier_reading	5
actinide_replenishment_mechanism_contradictions	null
actinide_replenishment_mechanism_flat_control	4
adjunctification_of_university_teaching_c0	5
alignment_constraint_narrowing	5
animal_status_kernel__property_reading	3
apoe4_mitochondrial_vulnerability	3
architectural_pattern_validity	0
authoritative_specification_reading	3
basic_law_interpretive_authority__parliamentary_sovereignty_reading	3
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	0
behavioral_adoption_friction	0
benchmark_saturation_interpretation	5
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	5
border_control_legitimacy__freedom_of_movement_primary	2
capability_endogeneity	0
catastrophe_memory_kernel__boundary_maintenance_reading	5
conceptual_framework_reading	0
crypto_permissionless_reading	null
dataset_recycling_amplification	0
demographic_resource_allocation	0
demographic_skill_mismatch_c0	0
digital_money_legitimacy_contradictions	null
digital_money_legitimacy_flat_control	5
dispositional_reading	3
distributed_verification	5
divine_legitimacy_substrate__folk_syncretistic_reading	0
doomsday_clock_metric__hybrid_legitimacy_reading	null
dueling_disappearance_mechanism__overdetermined_composite_reading	6
empty_shell_tolerance	0
epistemic_collapse	5
equal_protection_kernel__colorblind_reading	2
fictional_construct_reading	0
fourteenth_amendment_equal_protection__formal_equality_reading	3
gendered_outcome_asymmetry	3
generality_standard_contradictions	null
generality_standard_flat_control	5
generation_gate_reading	3
geopolitical_settlement_competition	5
gita_kurukshetra_discourse__gandhian_allegorical_reading	0
historical_treaty_substrate__stewardship_reading	0
indexical_realism	5
institutional_barrier_structure	5
institutional_trust_erosion_c0	null
institutional_validation_reading	5
institutional_verification_collapse	5
interactionist_reading	0
intervention_target_selection	5
jewish_self_determination__indigenous_return_reading	3
jewish_sovereignty_palestine__cultural_zionist_reading	0
jewish_sovereignty_palestine__settler_colonial_reading	3
jewish_territorial_claim__labor_zionism_reading	3
john_1_1_logos__non_incarnational_monotheist	3
knowledge_legitimacy_biomedicine_contradictions	null
knowledge_legitimacy_biomedicine_flat_control	5
lausanne_minority_protections__guarantor_reading	0
learning_difficulty_substrate_contradictions	null
learning_difficulty_substrate_flat_control	3
livelihood_security_reading	null
llm_synthesis_capacity	0
longevity_mismatch	0
lycurgan_laws__demographic_trap_reading	5
maat_order_principle__reciprocity_reading	null
marriage_authority__judicial_harmonization_reading	3
mitochondrial_demand_signal_deficiency	5
model_collapse_feedback	5
moral_causation_locus_contradictions	null
moral_causation_locus_flat_control	5
nad_precursor_bioavailability	3
neutron_star_bombardment_reading	0
nicene_creed_authority__liturgical_habituation_reading	0
organization_floor_c0	null
partition_choice_reading	5
performance_legitimacy_contradictions	null
performance_legitimacy_flat_control	5
polaris_document_status_contradictions	null
polaris_document_status_flat_control	3
post_evidentiary	3
pragmatic_action_reading	null
pre_public_initiative_reading	0
prerequisite_debt_reading	null
press_reformation_causality__strategic_deployment	5
press_reformation_causation__mutual_shaping	0
press_reformation_causation__strategic_deployment	0
propagation_speed_asymmetry	0
property_sector_overhang	5
protein_anabolic_resistance	4
qualitative_development_reading	5
quantitative_growth_reading	5
radiative_levitation_stratification	4
reading_acquisition_legitimacy__whole_language_meaning_primacy	5
refugee_convention_text__expansive_humanitarian_reading	0
regulated_stablecoin_reading	3
responsibility_preservation_mechanism	5
scale_ceiling_c0	0
secession_legitimacy_boundary__constitutional_impossibility_reading	2
sex_gender_category__identity_reading	5
shinbutsu_ontological_commitment__incoherence_reading	2
situational_reading	3
sovereign_cbdc_reading	5
specification_binding_authority	3
speech_protection_kernel__absolutist_reading	5
state_killing_legitimacy__abolition_reading	3
statutory_debt_ceiling__coordination_scaffold_reading	0
superheavy_decay_reading	null
synthesis_infrastructure_gap	5
techno_nationalist_reading	5
third_act_arbitrage	3
trajectory_extrapolation_reading	3
udhr_article_3__negative_liberty_reading	3
validation_judgment_separation	0
vedic_corpus_social_prescription__colonial_orientalist_reading	5
visual_evidentiary_authority_contradictions	null
visual_evidentiary_authority_flat_control	0
womens_financial_autonomy	0
zero_mathematical_status__parmenidean_rejection	5
zero_mathematical_status__placeholder_reading	3
zionist_legitimacy_basis__national_liberation_reading	5
