id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
ability_ceiling_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
access_barrier_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
adjunctification_of_university_teaching_c0	4	True	-0.03295654416664985	1.0685459314182089	1.1015024755848588	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
animal_status_kernel__property_reading	4	True	-0.03718174213673316	1.2055389995487482	1.2427207416854813	False	False	False	snare|snare|scaffold|snare	snare|snare|scaffold|snare	mountain|rope|rope|mountain
apoe4_mitochondrial_vulnerability	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
authoritative_specification_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
basic_law_interpretive_authority__parliamentary_sovereignty_reading	4	True	0.35359999999999997	0.9315528632876693	0.5779528632876694	False	False	False	tangled_rope|snare|snare|snare	tangled_rope|snare|snare|snare	mountain|rope|rope|mountain
behavioral_adoption_friction	4	True	-0.01605575228631659	0.5205736588960505	0.5366294111823671	False	False	False	scaffold|scaffold|scaffold|unknown	scaffold|scaffold|scaffold|unknown	mountain|rope|rope|mountain
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	4	True	-0.026196227414516545	0.6860251218079645	0.712221349222481	False	False	False	snare|snare|rope|tangled_rope	snare|snare|rope|tangled_rope	mountain|rope|rope|mountain
border_control_legitimacy__freedom_of_movement_primary	4	True	-0.06500862156059091	1.1096438518573708	1.1746524734179618	False	False	False	unknown|snare|rope|snare	unknown|snare|rope|snare	mountain|rope|rope|mountain
injected_starved_01	4	True	-0.0008450395940166628	0.027398613626107918	0.02824365322012458	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
