
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
ability_ceiling_reading	0.68
access_barrier_reading	0.68
actinide_replenishment_mechanism_contradictions	no_eps
actinide_replenishment_mechanism_flat_control	0.03
adjunctification_of_university_teaching_c0	0.78
alignment_constraint_narrowing	0.68
animal_status_kernel__property_reading	0.88
apoe4_mitochondrial_vulnerability	0.68
architectural_pattern_validity	0.08
authoritative_specification_reading	0.68
basic_law_interpretive_authority__parliamentary_sovereignty_reading	0.68
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	0.18
behavioral_adoption_friction	0.38
benchmark_saturation_interpretation	0.68
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	0.62
border_control_legitimacy__freedom_of_movement_primary	0.81
capability_endogeneity	0.38
catastrophe_memory_kernel__boundary_maintenance_reading	0.6
conceptual_framework_reading	0.12
crypto_permissionless_reading	0.42
dataset_recycling_amplification	0.38
demographic_resource_allocation	0.18
demographic_skill_mismatch_c0	0.18
digital_money_legitimacy_contradictions	no_eps
digital_money_legitimacy_flat_control	0.68
dispositional_reading	0.68
distributed_verification	0.68
divine_legitimacy_substrate__folk_syncretistic_reading	0.31
doomsday_clock_metric__hybrid_legitimacy_reading	0.4
dueling_disappearance_mechanism__overdetermined_composite_reading	0.58
empty_shell_tolerance	0.28
epistemic_collapse	0.82
equal_protection_kernel__colorblind_reading	0.68
fictional_construct_reading	0.28
fourteenth_amendment_equal_protection__formal_equality_reading	0.68
gendered_outcome_asymmetry	0.78
generality_standard_contradictions	no_eps
generality_standard_flat_control	0.68
generation_gate_reading	0.68
geopolitical_settlement_competition	0.68
gita_kurukshetra_discourse__gandhian_allegorical_reading	0.31
historical_treaty_substrate__stewardship_reading	0.25
indexical_realism	0.68
institutional_barrier_structure	0.68
institutional_trust_erosion_c0	0.68
institutional_validation_reading	0.68
institutional_verification_collapse	0.68
interactionist_reading	0.42
intervention_target_selection	0.68
jewish_self_determination__indigenous_return_reading	0.78
jewish_sovereignty_palestine__cultural_zionist_reading	0.15
jewish_sovereignty_palestine__settler_colonial_reading	0.9
jewish_territorial_claim__labor_zionism_reading	0.85
john_1_1_logos__non_incarnational_monotheist	0.68
knowledge_legitimacy_biomedicine_contradictions	no_eps
knowledge_legitimacy_biomedicine_flat_control	0.68
lausanne_minority_protections__guarantor_reading	0.22
learning_difficulty_substrate_contradictions	no_eps
learning_difficulty_substrate_flat_control	0.68
livelihood_security_reading	0.42
llm_synthesis_capacity	0.18
longevity_mismatch	0.12
lycurgan_laws__demographic_trap_reading	0.82
maat_order_principle__reciprocity_reading	0.42
marriage_authority__judicial_harmonization_reading	0.58
mitochondrial_demand_signal_deficiency	0.68
model_collapse_feedback	0.78
moral_causation_locus_contradictions	no_eps
moral_causation_locus_flat_control	0.68
nad_precursor_bioavailability	0.68
neutron_star_bombardment_reading	0.12
nicene_creed_authority__liturgical_habituation_reading	0.08
organization_floor_c0	0.42
partition_choice_reading	0.68
performance_legitimacy_contradictions	no_eps
performance_legitimacy_flat_control	0.68
polaris_document_status_contradictions	no_eps
polaris_document_status_flat_control	0.42
post_evidentiary	0.68
pragmatic_action_reading	0.42
pre_public_initiative_reading	0.42
prerequisite_debt_reading	0.48
press_reformation_causality__strategic_deployment	0.68
press_reformation_causation__mutual_shaping	0.2
press_reformation_causation__strategic_deployment	0.62
propagation_speed_asymmetry	0.12
property_sector_overhang	0.68
protein_anabolic_resistance	0.08
qualitative_development_reading	0.68
quantitative_growth_reading	0.68
radiative_levitation_stratification	0.03
reading_acquisition_legitimacy__whole_language_meaning_primacy	0.6
refugee_convention_text__expansive_humanitarian_reading	0.32
regulated_stablecoin_reading	0.42
responsibility_preservation_mechanism	0.68
scale_ceiling_c0	0.18
secession_legitimacy_boundary__constitutional_impossibility_reading	0.62
sex_gender_category__identity_reading	0.68
shinbutsu_ontological_commitment__incoherence_reading	0.67
situational_reading	0.68
sovereign_cbdc_reading	0.68
specification_binding_authority	0.68
speech_protection_kernel__absolutist_reading	0.62
state_killing_legitimacy__abolition_reading	0.95
statutory_debt_ceiling__coordination_scaffold_reading	0.2
superheavy_decay_reading	0.68
synthesis_infrastructure_gap	0.68
techno_nationalist_reading	0.68
third_act_arbitrage	0.58
trajectory_extrapolation_reading	0.68
udhr_article_3__negative_liberty_reading	0.68
validation_judgment_separation	0.12
vedic_corpus_social_prescription__colonial_orientalist_reading	0.68
visual_evidentiary_authority_contradictions	no_eps
visual_evidentiary_authority_flat_control	0.38
womens_financial_autonomy	0.38
zero_mathematical_status__parmenidean_rejection	0.68
zero_mathematical_status__placeholder_reading	0.62
zionist_legitimacy_basis__national_liberation_reading	0.65
census_planted_control	0.4605
