# A = 0.5-era signatures, from pipeline_output.json manifest 2026-06-08T22:25:01Z commit 025e71d
collapse_mechanism_ambiguity	coupling_invariant_rope
demographic_skill_mismatch	coupling_invariant_rope
digital_power_concentration	constructed_high_extraction
human_dignity_ai_governance_contradictions	constructed_high_extraction
human_dignity_ai_governance_flat_control	false_ci_rope
magisterial_integralist_reading	false_ci_rope
optimization_artifact_risk	constructed_high_extraction
platform_flexibility_precarity_tradeoff	constructed_high_extraction
pluralist_pragmatic_reading	false_ci_rope
proxy_measurement_validity	constructed_high_extraction
secular_humanist_reading	false_ci_rope
surveillance_control_freedom	constructed_high_extraction
techno_optimist_reading	false_ci_rope
technocratic_paradigm_resistance	constructed_high_extraction
truth_as_common_good	constructed_high_extraction
wage_convergence_sustainability	false_ci_rope
war_normalization_ai_weapons	constructed_high_extraction
work_dignity_automation	constructed_high_extraction
