PAIR	testsets	digital_money_legitimacy	crypto_permissionless_reading	regulated_stablecoin_reading	0/0/4	0/1/0	key_fragile
CELL	testsets	digital_money_legitimacy	crypto_permissionless_reading	regulated_stablecoin_reading	disparity	digital_money_legitimacy__issuance_legitimacy_basis	[conventional,deontological]|[conventional,empirically_contingent]
PAIR	testsets	digital_money_legitimacy	crypto_permissionless_reading	sovereign_cbdc_reading	0/0/4	0/1/1	key_fragile
CELL	testsets	digital_money_legitimacy	crypto_permissionless_reading	sovereign_cbdc_reading	disparity	digital_money_legitimacy__issuance_legitimacy_basis	[conventional,deontological]|[conventional]
PAIR	testsets	digital_money_legitimacy	regulated_stablecoin_reading	sovereign_cbdc_reading	0/0/4	0/1/1	key_fragile
CELL	testsets	digital_money_legitimacy	regulated_stablecoin_reading	sovereign_cbdc_reading	disparity	digital_money_legitimacy__issuance_legitimacy_basis	[conventional,empirically_contingent]|[conventional]
PAIR	testsets	moral_causation_locus	dispositional_reading	interactionist_reading	0/0/4	1/0/1	robustly_undersampled
CELL	testsets	moral_causation_locus	dispositional_reading	interactionist_reading	agree	moral_causation_locus__causation_locus	[empirically_contingent]
PAIR	testsets	moral_causation_locus	dispositional_reading	situational_reading	0/0/5	1/1/0	key_fragile
CELL	testsets	moral_causation_locus	dispositional_reading	situational_reading	agree	moral_causation_locus__causation_locus	[empirically_contingent]
CELL	testsets	moral_causation_locus	dispositional_reading	situational_reading	disparity	moral_causation_locus__accountability_intervention_locus	[deontological]|[instrumental]
PAIR	testsets	moral_causation_locus	interactionist_reading	situational_reading	0/0/5	1/0/1	robustly_undersampled
CELL	testsets	moral_causation_locus	interactionist_reading	situational_reading	agree	moral_causation_locus__causation_locus	[empirically_contingent]
PAIR	testsets	visual_evidentiary_authority	distributed_verification	epistemic_collapse	0/0/4	1/0/1	robustly_undersampled
CELL	testsets	visual_evidentiary_authority	distributed_verification	epistemic_collapse	agree	visual_evidentiary_authority__verification_feasibility	[empirically_contingent]
PAIR	testsets	visual_evidentiary_authority	distributed_verification	indexical_realism	0/0/4	2/0/0	robustly_undersampled
CELL	testsets	visual_evidentiary_authority	distributed_verification	indexical_realism	agree	visual_evidentiary_authority__truth_warrant_source	[conventional]
CELL	testsets	visual_evidentiary_authority	distributed_verification	indexical_realism	agree	visual_evidentiary_authority__verification_feasibility	[empirically_contingent]
PAIR	testsets	visual_evidentiary_authority	distributed_verification	post_evidentiary	0/0/4	0/1/2	key_fragile
CELL	testsets	visual_evidentiary_authority	distributed_verification	post_evidentiary	disparity	visual_evidentiary_authority__truth_warrant_source	[conventional]|[empirically_contingent]
PAIR	testsets	visual_evidentiary_authority	epistemic_collapse	indexical_realism	0/0/4	1/0/1	robustly_undersampled
CELL	testsets	visual_evidentiary_authority	epistemic_collapse	indexical_realism	agree	visual_evidentiary_authority__verification_feasibility	[empirically_contingent]
PAIR	testsets	visual_evidentiary_authority	epistemic_collapse	post_evidentiary	0/0/4	0/0/3	robustly_undersampled
PAIR	testsets	visual_evidentiary_authority	indexical_realism	post_evidentiary	0/0/4	0/1/2	key_fragile
CELL	testsets	visual_evidentiary_authority	indexical_realism	post_evidentiary	disparity	visual_evidentiary_authority__truth_warrant_source	[conventional]|[empirically_contingent]
PAIR	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__hindu_codified_reading	0/0/5	1/1/1	key_fragile
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__hindu_codified_reading	agree	marriage_authority_kernel__marriage_bond_nature	[deontological]
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__hindu_codified_reading	disparity	marriage_authority_kernel__marital_authority_source	[theological]|[conventional]
PAIR	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__muslim_shariat_reading	0/0/4	0/1/2	key_fragile
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__muslim_shariat_reading	disparity	marriage_authority_kernel__marital_authority_source	[theological]|[conventional]
PAIR	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__parsi_communal_reading	0/0/4	0/1/2	key_fragile
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__parsi_communal_reading	disparity	marriage_authority_kernel__marital_authority_source	[theological]|[deontological]
PAIR	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__secular_civil_reading	0/0/4	0/1/1	key_fragile
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_authority_kernel__secular_civil_reading	disparity	marriage_authority_kernel__marital_authority_source	[theological]|[conventional,deontological]
PAIR	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	marriage_authority_kernel__muslim_shariat_reading	0/0/5	1/1/1	key_fragile
CELL	testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	marriage_authority_kernel__muslim_shariat_reading	agree	marriage_authority_kernel__marital_authority_source	[conventional]
